id,selected,part_of_speech,tags,english,chinese,norwegian_base,verb_present_tense,verb_past_tense,verb_imperative,verb_present_participle,verb_past_participle,verb_passive_infinitive,verb_passive_present,verb_passive_past,noun_plural,noun_singular_definite,noun_plural_definite,noun_singular_definite_genitive,noun_plural_definite_genitive,noun_singular_indefinite_genitive,noun_plural_indefinite_genitive,adjective_feminine_form,adjective_neuter_form,adjective_plural_form,adjective_comparative,adjective_superlative_indefinite,adjective_superlative_definite,pronoun_object,pronoun_reflexive,pronoun_plural_subject,pronoun_plural_object,pronoun_plural_reflexive,determinative_feminine_form,determinative_neuter_form,determinative_plural_form,adverb_comparative,adverb_superlative
wb_51ad56796cee268142efaa8d0d7ac2a1bbaedf290d3df7f2546469b98f16c755,true,determinative,pronoun,your all(common)|your all(neuter)|your all(plural)|their-common-male|their-neuter-male|their-plural-male|their-common-female|their-neuter-female|their-plural-female,你们的（阴阳性）|你们的（中性）|你们的（复数）|他们的（阴阳性）|他们的（中性）|他们的（复数）|她们的（阴阳性）|她们的（中性）|她们的（复数）,deres,,,,,,,,,,,,,,,,,,,,,,,,,,,deres,deres,deres,,
wb_749d1a4713914a6fd74f3308cfaaab991b7e8059528c0bbc72a1cf8fdb776409,true,pronoun,pronoun,yourselves,你们自己（反身）,dere selv,,,,,,,,,,,,,,,,,,,,,,dere,dere selv,dere,dere,dere selv,,,,,
wb_3d6c8aef0883d0d04eb691d318026d7e4f37ea09d0bfd260762d37814b94742c,true,determinative,pronoun,your all own,你们自己的（反身物主）,deres egen,,,,,,,,,,,,,,,,,,,,,,,,,,,deres egen,deres eget,deres egne,,
wb_31a5d68504b778414e63356e6c0d8494e5d90495a0b561f3b39a69f2427a96c4,true,pronoun,pronoun,we(subject),我们（主格）,vi,,,,,,,,,,,,,,,,,,,,,,oss,oss,vi,oss,oss selv,,,,,
wb_ffb46044881b75ae1e9d7d0ce9d16423a6df503f6e1e69b1dd7f12c94f7b9c75,true,pronoun,pronoun,us(object),我们（宾格）,oss,,,,,,,,,,,,,,,,,,,,,,oss,oss,vi,oss,oss selv,,,,,
wb_79ea25c06d930df9436ddd2d4f2129e643d903e6fef8893201309b88c4d63dbd,true,determinative,pronoun,our(common),我们的（阴阳性）,vår,,,,,,,,,,,,,,,,,,,,,,,,,,,vår,vårt,våre,,
wb_857f0c235573ec7d93558919684e535cab95f631fa9390f34f3c7dbf44e109d2,true,determinative,pronoun,our(neuter),我们的（中性）,vårt,,,,,,,,,,,,,,,,,,,,,,,,,,,vår,vårt,våre,,
wb_d8dba4c8ba3ce88d487742fbb97e83fa64e1c91509b2598f98397b0a3c3dd841,true,determinative,pronoun,our(plural),我们的（复数）,våre,,,,,,,,,,,,,,,,,,,,,,,,,,,vår,vårt,våre,,
wb_4472aec1d8a89d85467f8189014b3643a7ceeb1507c6abda31783f9ff817bb21,true,pronoun,pronoun,ourselves,我们自己（反身）,oss selv,,,,,,,,,,,,,,,,,,,,,,oss,oss selv,vi,oss,oss selv,,,,,
wb_c69e54ead764c52792819533906afed43456538f8254f60e2ab155e828a023d3,true,determinative,pronoun,our own,我们自己的（反身物主）,vår egen,,,,,,,,,,,,,,,,,,,,,,,,,,,vår egen,vårt eget,våre egne,,
wb_b39990e5fea088b677da1f565e3f91326e729b9e073ea866cb3a6ee0d387acb1,true,pronoun,pronoun,they-subject-male|they-subject-female,他们（主格）|她们（主格）,de,,,,,,,,,,,,,,,,,,,,,,dem,seg,de,dem,seg,,,,,
wb_abac2d91aed935e7203b719097183645518b677e718e0a2d8c401e1d584776be,true,determinative,pronoun,those,那些,de,,,,,,,,,,,,,,,,,,,,,,,,,,,den,det,de,,
wb_86b42bd3e5a17bbf5d87715034ccd637d85426726eff3b0d632f3570fe02f763,true,pronoun,pronoun,them-object-male|them-object-female,他们（宾格）|她们（宾格）,dem,,,,,,,,,,,,,,,,,,,,,,dem,seg,de,dem,seg,,,,,
wb_189c0a4ec7ec82f2c5b5a0743ae0c882b332d378930186507e919c42d9b2472a,true,determinative,pronoun,this,这,denne,,,,,,,,,,,,,,,,,,,,,,,,,,,denne,dette,disse,,
wb_85e7974d1e28d366274b9506237680a2ebe3d271ff10286184776b859f605a08,true,determinative,pronoun,that,那,den,,,,,,,,,,,,,,,,,,,,,,,,,,,den,det,de,,
wb_8a9dd8848b5de71a803df77343a8398ce52ec6ddf1f88fc524c4c979bc3bf67c,true,determinative,pronoun,these,这些,disse,,,,,,,,,,,,,,,,,,,,,,,,,,,denne,dette,disse,,
wb_da7fa89549ac932d15f3f9a7e8d910c3e81dec7fc5381d4e698fd8a4952007ec,true,noun,month,january,一月,januar,,,,,,,,,januarer,januaren,januarene,januarens,januarenes,januars,januarers,,,,,,,,,,,,,,,,
wb_36eecb05e61da29ebf6f7581a5d74ff608c5a6cb0a287f2e909ac720b89e7f36,true,noun,month,february,二月,februar,,,,,,,,,februarer,februaren,februarene,februarens,februarenes,februars,februarers,,,,,,,,,,,,,,,,
wb_5d4c5ad3f2c44756ad2ba6908ded04ed9a9b67c42d28e78d0d5002dcd743555a,true,noun,month,march,三月,mars,,,,,,,,,marser,marsen,marsene,marsens,marsenes,marss,marsers,,,,,,,,,,,,,,,,
wb_15326e789eafc21ac3d408e751b77fb548fa4185d6c7f129f4d5ff8fd73568ba,true,noun,month,april,四月,april,,,,,,,,,apriler,aprilen,aprilene,aprilens,aprilenes,aprils,aprilers,,,,,,,,,,,,,,,,
wb_29667a93c0434a891c9b27734777601df7243a25a3e5adecc5e4837600e0aa09,true,noun,month,may,五月,mai,,,,,,,,,maier,maien,maiene,maiens,maienes,mais,maiers,,,,,,,,,,,,,,,,
wb_2811ceaeaa3b1b3aa9799cc2ff8311894bdae07f681e9b5eb13cf33c68a8af5d,true,noun,month,june,六月,juni,,,,,,,,,junier,junien,juniene,juniens,junienes,junis,juniers,,,,,,,,,,,,,,,,
wb_05f7423392085468451153faa8b296423bfc176aeef55466bc69132da4dc59dd,true,noun,month,july,七月,juli,,,,,,,,,julier,julien,juliene,juliens,julienes,julis,juliers,,,,,,,,,,,,,,,,
wb_70f74afd221ca415a93a3a9a50e5ac56632631bc9e701a5cf16cb538290e75cb,true,noun,month,august,八月,august,,,,,,,,,auguster,augusten,augustene,augustens,augustenes,augusts,augusters,,,,,,,,,,,,,,,,
wb_36ec7b4bb36355449c6dba7bdd5d8045d946ecbd23477017731f2c3d039bbeae,true,noun,month,september,九月,september,,,,,,,,,septemberer,septemberen,septembererne,septemberens,septemberernes,septembers,septemberers,,,,,,,,,,,,,,,,
wb_39f3f7b505efae59b426d3441567d0c1fd737e98bb893be8d3b2925ec84fe524,true,noun,month,october,十月,oktober,,,,,,,,,oktoberer,oktoberen,oktobererne,oktoberens,oktoberernes,oktobers,oktoberers,,,,,,,,,,,,,,,,
wb_6bc80db25dbdb474a8b53047fab88f3494a8b8f5516a45e5e989b7562930e366,true,noun,month,november,十一月,november,,,,,,,,,novemberer,novemberen,novembererne,novemberens,novemberernes,novembers,novemberers,,,,,,,,,,,,,,,,
wb_b920e6c52748910fe2250eddf0951cc2d1cd8966f68d0cbd0e818e1aa5589ed6,true,noun,month,december,十二月,desember,,,,,,,,,desemberer,desemberen,desembererne,desemberens,desemberernes,desembers,desemberers,,,,,,,,,,,,,,,,
wb_aa0bdfa2ed0fce38916e63a8901e2901dc0205fb7b0a7be498017f90c7121a2d,true,pronoun,interrogative,what,什么,hva,,,,,,,,,,,,,,,,,,,,,,hva,hva,hva,hva,hva,,,,,
wb_830906f8ec7827b7cea3f0b9a678e7a1672a0901593c9267b3b82eb51ba97f74,true,adverb,interrogative,where,哪里,hvor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wb_dcf38fb8edfe9e7db2df20a9645e9cc505869fac9a3f3299d3bfaea8691fc08b,true,adverb,interrogative,why,为什么,hvorfor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wb_4091c993ca5ec3e95b015556e1fa5d28c4452793a9d920f8d91bcc8243b7c532,true,adverb,interrogative,when,什么时候,når,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wb_7b2c0f01cd795b0806783c7cd35e832d77e7045417f7901a53be0449e7c8badc,true,pronoun,interrogative,who,谁,hvem,,,,,,,,,,,,,,,,,,,,,,hvem,hvem,hvem,hvem,hvem,,,,,
wb_6b96a82fadbd0eceaa870d931dcc2aecc94199a1fae730a641b06d706a45ba3e,true,determinative,interrogative,which,哪个,hvilken,,,,,,,,,,,,,,,,,,,,,,,,,,,hvilken,hvilket,hvilke,,
wb_d93d293da3447d886061f4a9403444ac7f5d7aa665ff32c4beeacfb598929a51,true,adverb,interrogative,how,怎么,hvordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
